Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-04-01 00:00:00-03:00,41.959999084472656,42.29999923706055,41.959999084472656,42.29999923706055,60,0.0,0.0
2014-05-01 00:00:00-03:00,42.15999984741211,43.83000183105469,41.7400016784668,43.77000045776367,339400,0.0,0.0
2014-06-01 00:00:00-03:00,43.83000183105469,44.52000045776367,43.400001525878906,43.70000076293945,406420,0.0,0.0
2014-07-01 00:00:00-03:00,44.40999984741211,45.130001068115234,43.81999969482422,44.439998626708984,101490,0.0,0.0
2014-08-01 00:00:00-03:00,47.7400016784668,47.7400016784668,43.91999816894531,45.34000015258789,257460,0.0,0.0
2014-09-01 00:00:00-03:00,45.5,49.099998474121094,45.189998626708984,48.79999923706055,1299880,0.0,0.0
2014-10-01 00:00:00-03:00,50.900001525878906,50.900001525878906,45.5,50.290000915527344,664130,0.0,0.0
2014-11-01 00:00:00-02:00,50.95000076293945,54.220001220703125,50.95000076293945,53.95000076293945,578840,0.0,0.0
2014-12-01 00:00:00-02:00,54.0,57.33000183105469,53.20000076293945,55.38999938964844,496510,0.0,0.0
2015-01-01 00:00:00-02:00,55.38999938964844,56.599998474121094,52.5,54.70000076293945,486190,0.0,0.0
2015-02-01 00:00:00-02:00,55.75,62.0,54.33000183105469,61.04999923706055,623450,0.0,0.0
2015-03-01 00:00:00-03:00,61.060001373291016,70.19999694824219,60.349998474121094,66.94000244140625,1044930,0.0,0.0
2015-04-01 00:00:00-03:00,66.75,66.75,61.93000030517578,63.90999984741211,1060310,0.0,0.0
2015-05-01 00:00:00-03:00,64.5,68.7300033569336,64.1500015258789,68.48999786376953,290470,0.0,0.0
2015-06-01 00:00:00-03:00,68.80000305175781,68.80000305175781,65.30999755859375,65.5,505980,0.0,0.0
2015-07-01 00:00:00-03:00,66.20999908447266,73.58999633789062,65.56999969482422,73.45999908447266,552020,0.0,0.0
2015-08-01 00:00:00-03:00,74.31999969482422,75.80000305175781,68.19999694824219,73.0999984741211,524740,0.0,0.0
2015-09-01 00:00:00-03:00,72.3499984741211,82.70999908447266,72.0,78.0,521380,0.0,0.0
2015-10-01 00:00:00-03:00,77.9000015258789,85.01000213623047,76.9000015258789,82.4000015258789,988260,0.0,0.0
2015-11-01 00:00:00-02:00,81.0,83.80000305175781,78.0,83.44000244140625,650270,0.0,0.0
2015-12-01 00:00:00-02:00,83.44000244140625,84.30000305175781,78.05000305175781,83.80000305175781,1066110,0.0,0.0
2016-01-01 00:00:00-02:00,83.12999725341797,83.91999816894531,77.01000213623047,79.23999786376953,1679090,0.0,0.0
2016-02-01 00:00:00-02:00,79.25,80.80999755859375,73.83000183105469,80.0199966430664,779020,0.0,0.0
2016-03-01 00:00:00-03:00,81.30000305175781,81.30000305175781,73.51000213623047,76.1500015258789,1849620,0.0,0.0
2016-04-01 00:00:00-03:00,77.98999786376953,79.5,69.9000015258789,73.06999969482422,3047940,0.0,0.0
2016-05-01 00:00:00-03:00,74.0,79.0,73.31999969482422,78.1500015258789,637140,0.0,0.0
2016-06-01 00:00:00-03:00,77.80000305175781,78.05999755859375,67.5,69.4800033569336,189210,0.0,0.0
2016-07-01 00:00:00-03:00,70.0,75.41000366210938,69.5999984741211,72.75,774470,0.0,0.0
2016-08-01 00:00:00-03:00,72.75,73.62000274658203,70.1500015258789,72.55000305175781,269100,0.0,0.0
2016-09-01 00:00:00-03:00,72.16000366210938,75.4000015258789,70.4800033569336,72.66999816894531,237640,0.0,0.0
2016-10-01 00:00:00-03:00,72.19999694824219,72.81999969482422,68.93000030517578,70.30000305175781,200470,0.0,0.0
2016-11-01 00:00:00-02:00,70.30000305175781,79.75,68.62000274658203,77.36000061035156,518530,0.0,0.0
2016-12-01 00:00:00-02:00,77.19000244140625,81.2300033569336,75.5,75.95999908447266,1126950,0.0,0.0
2017-01-01 00:00:00-02:00,76.41000366210938,79.0,73.55999755859375,74.36000061035156,845810,0.0,0.0
2017-02-01 00:00:00-02:00,74.30000305175781,77.0,73.19999694824219,76.44999694824219,425290,0.0,0.0
2017-03-01 00:00:00-03:00,77.0,80.0,75.37999725341797,76.5,723020,0.0,0.0
2017-04-01 00:00:00-03:00,77.01000213623047,79.94999694824219,75.43000030517578,78.9000015258789,603280,0.0,0.0
2017-05-01 00:00:00-03:00,78.9000015258789,84.5,76.69999694824219,81.36000061035156,912740,0.0,0.0
2017-06-01 00:00:00-03:00,81.5199966430664,85.4000015258789,81.43000030517578,83.9000015258789,598200,0.0,0.0
2017-07-01 00:00:00-03:00,85.0,88.0,80.11000061035156,80.55000305175781,774130,0.0,0.0
2017-08-01 00:00:00-03:00,80.5999984741211,83.0,79.45999908447266,81.3499984741211,1596940,0.0,0.0
2017-09-01 00:00:00-03:00,81.16999816894531,84.0,79.63999938964844,83.44999694824219,898790,0.0,0.0
2017-10-01 00:00:00-03:00,83.44999694824219,89.23999786376953,82.80000305175781,88.05999755859375,1075190,0.0,0.0
2017-11-01 00:00:00-02:00,89.25,92.5,87.69000244140625,90.5,755630,0.0,0.0
2017-12-01 00:00:00-02:00,90.48999786376953,95.3499984741211,89.18000030517578,93.55000305175781,1338020,0.0,0.0
