Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-01 00:00:00-02:00,2272.4429194387767,2272.4429194387767,1716.956787109375,1716.956787109375,32357982,0.0,0.0
2000-02-01 00:00:00-02:00,1795.510153614685,1958.2282871874688,1635.5974632777734,1637.8419189453125,76890533,0.0,0.0
2000-03-01 00:00:00-03:00,1627.1810747773811,1823.5650376783308,1551.432993573086,1710.2235107421875,50975286,0.0,0.0
2000-04-01 00:00:00-03:00,1677.6798042850523,1688.901779961451,1279.3009817979018,1543.0166015625,33751458,0.0,0.0
2000-05-01 00:00:00-03:00,1543.0161898680155,1655.2355123752095,1357.8542470838536,1576.6820068359375,26017797,0.0,0.0
2000-06-01 00:00:00-03:00,1593.5158293988297,1891.4583635728504,1531.7951444421303,1773.06689453125,43931540,0.0,0.0
2000-07-01 00:00:00-03:00,1773.0661082178858,2025.5598268861818,1773.0661082178858,1876.8690185546875,35526046,0.0,0.0
2000-08-01 00:00:00-03:00,1907.7295280114374,2008.16591349663,1761.8442538933032,1829.1759033203125,36925790,0.0,0.0
2000-09-01 00:00:00-03:00,1879.6742787610474,1930.173055297516,1683.2903611745123,1714.150634765625,18487792,0.0,0.0
2000-10-01 00:00:00-03:00,1714.150581455032,1801.6818048731734,1385.9090495704972,1626.0584716796875,22612143,0.0,0.0
2000-11-01 00:00:00-02:00,1627.1810558265292,1688.9017176104203,1402.7422581363328,1413.9642333984375,24547954,0.0,0.0
2000-12-01 00:00:00-02:00,1442.0189391996528,1714.1508542829686,1369.0763087940406,1582.293212890625,19717830,0.0,0.0
2001-01-01 00:00:00-02:00,1582.2930529580665,2059.2252927115555,1514.961416478349,2008.16552734375,37958447,0.0,0.0
2001-02-01 00:00:00-02:00,1978.9884109008572,1998.6268122289716,1684.412492057961,1722.5670166015625,22888105,0.0,0.0
2001-03-01 00:00:00-03:00,1739.4003225391227,1835.9089762055826,1453.2408931175157,1537.4053955078125,30165756,0.0,0.0
2001-04-01 00:00:00-03:00,1450.996566118804,1568.2658114672295,1388.714816706353,1416.7696533203125,34681917,0.0,0.0
2001-05-01 00:00:00-03:00,1416.7697199158185,1470.0739524194523,1178.3035974880224,1290.52294921875,38730635,0.0,0.0
2001-06-01 00:00:00-03:00,1306.7945457501078,1562.6547866564342,1237.218549021156,1537.4053955078125,28905838,0.0,0.0
2001-07-01 00:00:00-03:00,1514.9613740042923,1582.2930085962735,1341.021301128538,1475.6845703125,27524169,0.0,0.0
2001-08-01 00:00:00-03:00,1475.6848153690328,1638.4029424746313,1419.5751442509195,1553.67724609375,25678006,0.0,0.0
2001-09-01 00:00:00-03:00,1537.405397495639,1678.2406569245252,1284.911788919449,1442.0189208984375,20874448,0.0,0.0
2001-10-01 00:00:00-03:00,1413.9640403035448,1543.577422457233,1263.0289889266785,1498.1285400390625,26245799,0.0,0.0
2001-11-01 00:00:00-02:00,1498.1287100602783,1806.7321129379438,1486.9068361359466,1711.9066162109375,30247664,0.0,0.0
2001-12-01 00:00:00-02:00,1739.400638229667,1994.699735796086,1672.0689836656147,1851.6199951171875,31118355,0.0,0.0
2002-01-01 00:00:00-02:00,1851.6197128950569,2019.9487225697885,1666.457741605551,2001.4324951171875,41009187,0.0,0.0
2002-02-01 00:00:00-02:00,1935.7838707596018,2125.99560546875,1817.9534638127877,2125.99560546875,29978339,0.0,0.0
2002-03-01 00:00:00-03:00,2076.058693897672,2227.5548650331675,1907.729659782166,1941.3953857421875,31429367,0.0,0.0
2002-04-01 00:00:00-03:00,1918.9505575418134,2160.2219971027357,1896.5066180748313,2092.890380859375,38830982,0.0,0.0
